Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;RandomKeys;Size;Type;UseCapacity
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,846133;0,398193;ns/op;true;1825;Cellar;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;40,534419;1,491859;ns/op;true;1825;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,457614;0,023539;ns/op;true;1825;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,796854;0,059937;ns/op;true;1825;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,904115;0,222218;ns/op;true;1825;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,370424;0,018136;ns/op;true;1825;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;12,602695;0,593967;ns/op;true;2048;Array;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;11,338557;2,460941;ns/op;true;2048;Array94;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,943567;0,576305;ns/op;true;2048;Cellar;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;35,656724;0,194402;ns/op;true;2048;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,620199;0,075412;ns/op;true;2048;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,910725;0,357636;ns/op;true;2048;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;8,05001;0,036985;ns/op;true;2048;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,930574;0,136806;ns/op;true;2048;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;13,92157;1,714737;ns/op;true;2299;Array;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;14,240886;3,069398;ns/op;true;2299;Array94;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,808211;0,275608;ns/op;true;2299;Cellar;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;36,142091;0,333313;ns/op;true;2299;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,178536;0,516578;ns/op;true;2299;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,963818;0,168238;ns/op;true;2299;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;8,669641;0,275881;ns/op;true;2299;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;8,22153;0,073623;ns/op;true;2299;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;16,245965;3,387326;ns/op;true;2580;Array;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;17,605853;0,39294;ns/op;true;2580;Array94;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;6,946026;0,458939;ns/op;true;2580;Cellar;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;37,020702;0,147427;ns/op;true;2580;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;7,20279;0,082742;ns/op;true;2580;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;8,459901;1,057149;ns/op;true;2580;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add;avgt;1;9;9,429472;0,113326;ns/op;true;2580;OpenLinearFibonacci;true
