Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;MissPercent;RandomKeys;Size;Type
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,008852;0,379466;ns/op;0;true;1825;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,400108;0,50307;ns/op;0;true;1825;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,258448;0,501044;ns/op;0;true;1825;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;9,568424;0,124019;ns/op;0;true;1825;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,748788;0,582351;ns/op;0;true;1825;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,367671;0,101519;ns/op;0;true;1825;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,68556;0,270769;ns/op;0;true;1825;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,438803;0,073314;ns/op;0;true;2048;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,5911;0,378486;ns/op;0;true;2048;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,411571;0,374539;ns/op;0;true;2048;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,552062;0,40565;ns/op;0;true;2048;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,064308;0,448336;ns/op;0;true;2048;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,966562;1,223994;ns/op;0;true;2048;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,457131;0,140896;ns/op;0;true;2048;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,454313;0,776126;ns/op;0;true;2048;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,773339;0,333036;ns/op;0;true;2299;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,793043;0,09682;ns/op;0;true;2299;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;9,79307;0,145554;ns/op;0;true;2299;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,120302;0,614766;ns/op;0;true;2299;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;9,830954;0,233144;ns/op;0;true;2299;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,604619;0,248774;ns/op;0;true;2299;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,857148;0,150281;ns/op;0;true;2299;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,231636;0,259198;ns/op;0;true;2299;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,937738;0,145444;ns/op;0;true;2580;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,914141;0,111832;ns/op;0;true;2580;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,101171;0,412643;ns/op;0;true;2580;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,350942;1,196401;ns/op;0;true;2580;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,092727;0,307491;ns/op;0;true;2580;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,681243;0,136416;ns/op;0;true;2580;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,855692;0,104608;ns/op;0;true;2580;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,815493;0,431954;ns/op;0;true;2580;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,521845;0,610415;ns/op;0;true;2896;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,24318;0,176754;ns/op;0;true;2896;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;9,921447;0,08745;ns/op;0;true;2896;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,894638;0,366998;ns/op;0;true;2896;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,632344;0,708918;ns/op;0;true;2896;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,26636;1,430008;ns/op;0;true;2896;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,239969;0,226871;ns/op;0;true;2896;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,495982;0,254518;ns/op;0;true;2896;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,680729;0,407494;ns/op;0;true;3251;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,595705;0,579388;ns/op;0;true;3251;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,531133;0,664635;ns/op;0;true;3251;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,175348;0,480663;ns/op;0;true;3251;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;9,806048;0,538835;ns/op;0;true;3251;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,728738;0,360347;ns/op;0;true;3251;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,660016;0,760729;ns/op;0;true;3251;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,61812;1,260174;ns/op;0;true;3251;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,45781;0,21675;ns/op;0;true;3649;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,888929;0,062211;ns/op;0;true;3649;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,768971;0,911856;ns/op;0;true;3649;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;15,286996;1,826739;ns/op;0;true;3649;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,088811;0,586114;ns/op;0;true;3649;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,793691;0,482011;ns/op;0;true;3649;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,330101;1,055755;ns/op;0;true;3649;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,379159;1,524104;ns/op;0;true;3649;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,233733;1,397659;ns/op;0;true;4096;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,733101;0,523679;ns/op;0;true;4096;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,279416;0,108543;ns/op;0;true;4096;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,339042;0,581133;ns/op;0;true;4096;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,062844;0,329266;ns/op;0;true;4096;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,837876;0,54782;ns/op;0;true;4096;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,750507;0,252517;ns/op;0;true;4096;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,088886;0,186563;ns/op;0;true;4096;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,043416;0,157226;ns/op;0;true;4598;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,325872;0,453179;ns/op;0;true;4598;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,248617;0,282041;ns/op;0;true;4598;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,456694;0,360046;ns/op;0;true;4598;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,873376;1,410763;ns/op;0;true;4598;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,231675;0,557767;ns/op;0;true;4598;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,085814;0,964626;ns/op;0;true;4598;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,624666;0,713428;ns/op;0;true;4598;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,744278;0,650391;ns/op;0;true;5161;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,374241;0,255504;ns/op;0;true;5161;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,340784;0,298333;ns/op;0;true;5161;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,455278;0,421778;ns/op;0;true;5161;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,030661;0,157851;ns/op;0;true;5161;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,571838;0,965426;ns/op;0;true;5161;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,532457;0,598291;ns/op;0;true;5161;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,259701;0,761457;ns/op;0;true;5161;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,537657;0,210146;ns/op;0;true;5793;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,725283;0,446867;ns/op;0;true;5793;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,69769;0,154487;ns/op;0;true;5793;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;15,432148;0,218347;ns/op;0;true;5793;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,338268;0,458972;ns/op;0;true;5793;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,033025;2,659473;ns/op;0;true;5793;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,799109;0,659768;ns/op;0;true;5793;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,275993;1,241621;ns/op;0;true;5793;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,515256;0,75776;ns/op;0;true;6502;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,4084;1,10487;ns/op;0;true;6502;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,004328;0,564945;ns/op;0;true;6502;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;17,953364;0,580452;ns/op;0;true;6502;LockFree
