Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;HashTable;Key;MissPercent;RandomKeys;Size;UseCapacity
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;17,462308;0,169457;ns/op;LockFree;Int;0;true;1024;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;12,282254;0,70654;ns/op;LockFree;Int;0;true;1149;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;10,642507;0,37251;ns/op;LockFree;Int;0;true;1290;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;14,755886;0,048115;ns/op;LockFree;Int;0;true;1448;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;15,611926;4,995643;ns/op;LockFree;Int;0;true;1625;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;16,204434;1,40807;ns/op;LockFree;Int;0;true;1825;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;10,136838;0,410916;ns/op;LockFree;Int;0;true;2048;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;10,20002;1,179714;ns/op;LockFree;Int;0;true;2299;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;11,196165;0,998117;ns/op;LockFree;Int;0;true;2580;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;11,047805;0,172524;ns/op;LockFree;Int;0;true;2896;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;12,263429;0,554684;ns/op;LockFree;Int;0;true;3251;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;11,262136;0,427501;ns/op;LockFree;Int;0;true;3649;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;10,051401;0,401325;ns/op;LockFree;Int;0;true;4096;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;10,521233;0,862351;ns/op;LockFree;Int;0;true;4598;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;11,305508;0,440551;ns/op;LockFree;Int;0;true;5161;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;12,534054;0,346929;ns/op;LockFree;Int;0;true;5793;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;13,739071;0,394738;ns/op;LockFree;Int;0;true;6502;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;14,981579;0,636686;ns/op;LockFree;Int;0;true;7298;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;15,391431;1,657527;ns/op;LockFree;Int;0;true;8192;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;15,491578;0,537099;ns/op;LockFree;Int;0;true;9195;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;30,976286;0,839039;ns/op;LockFree;Int;0;true;10321;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;16,572473;0,183412;ns/op;LockFree;Int;0;true;11585;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;16,731032;1,313615;ns/op;LockFree;Int;0;true;13004;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;17,346196;0,601876;ns/op;LockFree;Int;0;true;14596;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;17,020455;1,014853;ns/op;LockFree;Int;0;true;16384;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;127,197697;23,390705;ns/op;LockFree;Int;0;true;1024000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;132,98361;27,780982;ns/op;LockFree;Int;0;true;1149000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;134,147332;8,641649;ns/op;LockFree;Int;0;true;1290000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;143,425744;11,220305;ns/op;LockFree;Int;0;true;1448000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;137,113778;8,957191;ns/op;LockFree;Int;0;true;1625000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;135,934128;23,21098;ns/op;LockFree;Int;0;true;1825000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;126,241801;19,242347;ns/op;LockFree;Int;0;true;2048000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;133,129575;141,597355;ns/op;LockFree;Int;0;true;2299000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;125,454749;50,60364;ns/op;LockFree;Int;0;true;2580000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;127,905998;28,030285;ns/op;LockFree;Int;0;true;2896000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;130,751334;19,576219;ns/op;LockFree;Int;0;true;3251000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;133,100174;6,298134;ns/op;LockFree;Int;0;true;3649000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;135,231881;130,462343;ns/op;LockFree;Int;0;true;4096000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;142,828674;190,664545;ns/op;LockFree;Int;0;true;4598000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;132,351966;41,738816;ns/op;LockFree;Int;0;true;5161000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;134,602178;61,454313;ns/op;LockFree;Int;0;true;5793000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;135,562165;60,197089;ns/op;LockFree;Int;0;true;6502000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;134,625552;21,377462;ns/op;LockFree;Int;0;true;7298000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;131,764113;31,140264;ns/op;LockFree;Int;0;true;8192000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;131,373326;9,874525;ns/op;LockFree;Int;0;true;9195000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;136,918097;105,25556;ns/op;LockFree;Int;0;true;10321000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;141,781571;124,502336;ns/op;LockFree;Int;0;true;11585000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;134,000418;23,854;ns/op;LockFree;Int;0;true;13004000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;134,367721;61,328094;ns/op;LockFree;Int;0;true;14596000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;153,615472;64,279679;ns/op;LockFree;Int;0;true;16384000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;8,005213;0,606275;ns/op;LockFree;Int;50;true;1024;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;8,047912;0,616737;ns/op;LockFree;Int;50;true;1149;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;8,198952;0,501341;ns/op;LockFree;Int;50;true;1290;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;8,329121;0,102721;ns/op;LockFree;Int;50;true;1448;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;8,429739;0,42093;ns/op;LockFree;Int;50;true;1625;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;8,475104;0,578674;ns/op;LockFree;Int;50;true;1825;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;8,382868;0,169055;ns/op;LockFree;Int;50;true;2048;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;8,56195;0,928341;ns/op;LockFree;Int;50;true;2299;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;8,82448;0,61183;ns/op;LockFree;Int;50;true;2580;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;9,449121;1,580656;ns/op;LockFree;Int;50;true;2896;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;10,167209;0,267212;ns/op;LockFree;Int;50;true;3251;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;12,594731;4,324783;ns/op;LockFree;Int;50;true;3649;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;11,675089;0,253116;ns/op;LockFree;Int;50;true;4096;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;12,292882;0,221068;ns/op;LockFree;Int;50;true;4598;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;12,955895;0,138296;ns/op;LockFree;Int;50;true;5161;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;13,446468;1,321705;ns/op;LockFree;Int;50;true;5793;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;14,22897;1,383463;ns/op;LockFree;Int;50;true;6502;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;15,269711;0,208224;ns/op;LockFree;Int;50;true;7298;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;15,115368;0,330328;ns/op;LockFree;Int;50;true;8192;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;15,076822;0,289503;ns/op;LockFree;Int;50;true;9195;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;16,85533;0,197095;ns/op;LockFree;Int;50;true;10321;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;16,339967;0,312854;ns/op;LockFree;Int;50;true;11585;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;16,921746;0,759425;ns/op;LockFree;Int;50;true;13004;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;18,128919;0,52645;ns/op;LockFree;Int;50;true;14596;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;17,45805;0,066281;ns/op;LockFree;Int;50;true;16384;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;89,512675;19,091242;ns/op;LockFree;Int;50;true;1024000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;89,564907;3,04293;ns/op;LockFree;Int;50;true;1149000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;91,140769;10,997022;ns/op;LockFree;Int;50;true;1290000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;90,656857;1,844136;ns/op;LockFree;Int;50;true;1448000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;91,114073;5,420073;ns/op;LockFree;Int;50;true;1625000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;92,052027;8,186637;ns/op;LockFree;Int;50;true;1825000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;91,858157;4,566582;ns/op;LockFree;Int;50;true;2048000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;94,925517;10,430575;ns/op;LockFree;Int;50;true;2299000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;94,490386;5,298096;ns/op;LockFree;Int;50;true;2580000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;94,799524;0,16667;ns/op;LockFree;Int;50;true;2896000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;96,100167;5,06279;ns/op;LockFree;Int;50;true;3251000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;96,723938;2,286897;ns/op;LockFree;Int;50;true;3649000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;98,205989;21,883832;ns/op;LockFree;Int;50;true;4096000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;97,8714;2,975208;ns/op;LockFree;Int;50;true;4598000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;101,144401;45,515076;ns/op;LockFree;Int;50;true;5161000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;101,406895;50,049703;ns/op;LockFree;Int;50;true;5793000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;101,819847;18,958773;ns/op;LockFree;Int;50;true;6502000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;105,419499;27,071705;ns/op;LockFree;Int;50;true;7298000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;98,764926;14,835407;ns/op;LockFree;Int;50;true;8192000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;97,642408;3,606565;ns/op;LockFree;Int;50;true;9195000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;102,292795;38,163433;ns/op;LockFree;Int;50;true;10321000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;101,482685;2,950384;ns/op;LockFree;Int;50;true;11585000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;103,017263;19,708632;ns/op;LockFree;Int;50;true;13004000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;103,756913;30,733062;ns/op;LockFree;Int;50;true;14596000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;108,309546;22,787242;ns/op;LockFree;Int;50;true;16384000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;5,439399;0,039272;ns/op;LockFree;Int;100;true;1024;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;5,520215;0,167275;ns/op;LockFree;Int;100;true;1149;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;5,626427;0,093804;ns/op;LockFree;Int;100;true;1290;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;5,605207;0,220588;ns/op;LockFree;Int;100;true;1448;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;5,642939;0,154145;ns/op;LockFree;Int;100;true;1625;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;5,747554;0,251518;ns/op;LockFree;Int;100;true;1825;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;5,33377;0,462545;ns/op;LockFree;Int;100;true;2048;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;5,87415;0,186324;ns/op;LockFree;Int;100;true;2299;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;5,973709;0,149241;ns/op;LockFree;Int;100;true;2580;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;6,937272;0,135528;ns/op;LockFree;Int;100;true;2896;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;9,020554;0,298153;ns/op;LockFree;Int;100;true;3251;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;12,937415;0,362663;ns/op;LockFree;Int;100;true;3649;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;9,733618;1,862644;ns/op;LockFree;Int;100;true;4096;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;9,21568;0,289364;ns/op;LockFree;Int;100;true;4598;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;9,431569;0,324253;ns/op;LockFree;Int;100;true;5161;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;10,491219;0,22392;ns/op;LockFree;Int;100;true;5793;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;11,586431;0,679326;ns/op;LockFree;Int;100;true;6502;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;12,429231;0,074711;ns/op;LockFree;Int;100;true;7298;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;7,264172;2,502631;ns/op;LockFree;Int;100;true;8192;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;8,057705;0,472831;ns/op;LockFree;Int;100;true;9195;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;10,273882;0,276384;ns/op;LockFree;Int;100;true;10321;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;12,174491;0,715743;ns/op;LockFree;Int;100;true;11585;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;12,904902;1,466898;ns/op;LockFree;Int;100;true;13004;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;12,612919;0,575596;ns/op;LockFree;Int;100;true;14596;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;8,431677;0,409939;ns/op;LockFree;Int;100;true;16384;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;33,018318;2,224152;ns/op;LockFree;Int;100;true;1024000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;32,457146;1,735651;ns/op;LockFree;Int;100;true;1149000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;32,331164;2,248293;ns/op;LockFree;Int;100;true;1290000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;34,880017;7,371205;ns/op;LockFree;Int;100;true;1448000;true
org.kblees.hashtable.GetBenchmark.get;avgt;1;3;36,302128;1,390427;ns/op;LockFree;Int;100;true;1625000;true
