Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;HashTable;Key;MissPercent;RandomKeys;Size;UseCapacity
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;110,670366;33,032838;ns/op;LockFree;LongString;0;true;6502;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;117,718613;50,798686;ns/op;LockFree;LongString;0;true;7298;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;126,539914;36,257487;ns/op;LockFree;LongString;0;true;8192;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;140,447944;26,051522;ns/op;LockFree;LongString;0;true;9195;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;158,570261;31,580753;ns/op;LockFree;LongString;0;true;10321;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;174,913889;22,716641;ns/op;LockFree;LongString;0;true;11585;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;205,323641;14,076308;ns/op;LockFree;LongString;0;true;13004;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;222,968258;7,933122;ns/op;LockFree;LongString;0;true;14596;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;243,040708;5,116669;ns/op;LockFree;LongString;0;true;16384;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;776,885594;24,939351;ns/op;LockFree;LongString;0;true;1024000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;731,52662;34,755339;ns/op;LockFree;LongString;0;true;1149000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;780,463665;52,844029;ns/op;LockFree;LongString;0;true;1290000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;942,30337;63,773575;ns/op;LockFree;LongString;0;true;1448000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;941,99507;61,075528;ns/op;LockFree;LongString;0;true;1625000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;856,001358;15,666825;ns/op;LockFree;LongString;0;true;1825000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;905,203522;1114,594346;ns/op;LockFree;LongString;0;true;2048000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;970,843756;320,579935;ns/op;LockFree;LongString;0;true;2299000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;1027,160948;34,148514;ns/op;LockFree;LongString;0;true;2580000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;985,813162;16,780227;ns/op;LockFree;LongString;0;true;2896000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;958,280493;181,154028;ns/op;LockFree;LongString;0;true;3251000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;967,332468;173,724062;ns/op;LockFree;LongString;0;true;3649000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;956,133396;200,841335;ns/op;LockFree;LongString;0;true;4096000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;969,306195;73,203251;ns/op;LockFree;LongString;0;true;4598000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;974,862407;59,710496;ns/op;LockFree;LongString;0;true;5161000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;922,90018;1041,095926;ns/op;LockFree;LongString;0;true;5793000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;967,111111;468,773766;ns/op;LockFree;LongString;0;true;6502000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;1007,256006;131,864769;ns/op;LockFree;LongString;0;true;7298000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;946,568238;146,617692;ns/op;LockFree;LongString;0;true;8192000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;975,841039;65,904423;ns/op;LockFree;LongString;0;true;9195000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;952,866827;232,884547;ns/op;LockFree;LongString;0;true;10321000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;871,809639;1751,096086;ns/op;LockFree;LongString;0;true;11585000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;41,589673;9,726743;ns/op;LockFree;LongString;50;true;1024;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;44,188093;10,219057;ns/op;LockFree;LongString;50;true;1149;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;46,211374;6,693242;ns/op;LockFree;LongString;50;true;1290;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;47,687322;6,596761;ns/op;LockFree;LongString;50;true;1448;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;49,178958;5,176394;ns/op;LockFree;LongString;50;true;1625;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;50,700123;7,564798;ns/op;LockFree;LongString;50;true;1825;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;55,333351;9,254966;ns/op;LockFree;LongString;50;true;2048;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;57,247208;26,271125;ns/op;LockFree;LongString;50;true;2299;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;57,482968;2,251148;ns/op;LockFree;LongString;50;true;2580;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;59,417794;8,40734;ns/op;LockFree;LongString;50;true;2896;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;60,103249;5,736935;ns/op;LockFree;LongString;50;true;3251;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;61,704314;5,020623;ns/op;LockFree;LongString;50;true;3649;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;62,787986;3,882692;ns/op;LockFree;LongString;50;true;4096;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;64,243047;4,727605;ns/op;LockFree;LongString;50;true;4598;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;64,781042;5,813972;ns/op;LockFree;LongString;50;true;5161;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;66,555021;8,511845;ns/op;LockFree;LongString;50;true;5793;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;68,924074;12,584689;ns/op;LockFree;LongString;50;true;6502;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;72,978924;11,083221;ns/op;LockFree;LongString;50;true;7298;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;76,834653;4,542528;ns/op;LockFree;LongString;50;true;8192;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;81,071276;6,132167;ns/op;LockFree;LongString;50;true;9195;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;91,293219;3,029222;ns/op;LockFree;LongString;50;true;10321;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;101,022564;33,171089;ns/op;LockFree;LongString;50;true;11585;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;108,795786;39,843494;ns/op;LockFree;LongString;50;true;13004;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;119,324051;43,654387;ns/op;LockFree;LongString;50;true;14596;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;139,11787;11,46885;ns/op;LockFree;LongString;50;true;16384;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;442,557709;38,632142;ns/op;LockFree;LongString;50;true;1024000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;553,611671;52,573107;ns/op;LockFree;LongString;50;true;1149000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;521,012347;183,034941;ns/op;LockFree;LongString;50;true;1290000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;555,959944;231,95757;ns/op;LockFree;LongString;50;true;1448000;true
org.kblees.hashtable.GetBenchmark.get;avgt;8;3;542,446881;98,394613;ns/op;LockFree;LongString;50;true;1625000;true
